epxWave,epyWave
-19.185,11.7092
-18.9928,11.8676
-19.2943,11.5037
-19.6276,11.6613
-19.2573,11.6464
-19.2099,11.6396
-19.0719,11.9778
-19.0873,11.6892
-19.261,11.7017
-19.0411,11.5737
-19.5844,12.0167
-19.4326,11.4019
-19.3473,11.881
-19.2578,11.7906
-19.3209,11.8196
-19.4052,11.5051
-19.0658,11.8082
-19.2869,12.0255
-19.7028,11.4301
-19.1855,11.6811
-19.5052,11.7693
-19.4423,11.7091
-19.4045,11.7288
-19.3696,11.5027
-19.1396,11.9264
-19.2256,11.8939
-19.9537,11.7861
-19.4481,11.5344
-19.585,12.4022
-19.786,12.0741
-19.8523,12.0445
-19.45,12.1916
-19.5868,11.9246
-19.5275,11.9935
-19.6279,11.9162
-19.949,11.9592
-20.3512,11.9905
-20.7474,11.869
-21.0996,11.9267
-21.1356,11.7417
-20.7302,11.9016
-19.6899,11.5281
-20.1135,11.4987
-20.5692,11.5007
-20.1391,11.8157
-20.7265,11.7172
-20.4268,11.9028
-20.7813,12.227
-20.7644,11.8445
-20.9336,12.0086
-20.7283,11.9945
-20.5128,11.3627
-20.8959,11.7076
-20.9194,11.4696
-20.6971,11.9156
-20.8025,12.1203
-21.7299,11.454
-20.7726,11.8965
-21.429,11.8403
-21.0776,11.6188
-21.3039,11.8826
-20.9787,11.7715
-21.1007,11.7527
-20.9439,11.7583
-21.3369,11.958
-21.1569,11.7486
-21.2438,11.7517
-20.9531,11.3688
-21.2937,11.9442
-21.6896,11.8035
-21.7044,11.6512
-21.7087,12.0501
-21.9901,11.6399
-21.9841,11.8149
-22.01,11.6364
-21.7301,11.4956
-21.9169,11.8296
-22.1952,11.8863
-21.676,11.7621
-21.6813,11.6425
-22.1706,11.8415
-22.3277,11.7984
-22.3127,12.1519
-22.4865,12.1764
-22.2303,11.4161
-22.3019,11.9074
-22.3536,11.8566
-21.6719,12.0861
-21.6147,11.7924
-21.6193,11.5996
-21.6699,11.6481
-22.554,11.9134
-21.4664,11.4236
-22.1553,11.3905
-21.8591,12.1595
-22.1483,11.8316
-22.3619,12.2145
-22.2601,11.8327
-21.7201,11.7934
-22.1922,11.3598
-21.646,11.4161
-22.5058,11.7669
-22.0882,12.2948
-22.0101,11.8689
-22.3974,11.9655
-22.3743,11.7717
-21.9092,11.7402
-22.2268,11.6691
-22.7949,11.8243
-22.3031,11.9112
-22.1561,11.963
-22.5199,11.8224
-22.1039,11.921
-22.4157,11.5162
-21.9926,11.4973
-22.4527,11.8105
-22.4091,11.7198
-22.584,11.4498
-22.0222,12.0894
-22.0957,12.2195
-22.5318,11.79
-22.6014,12.0467
-22.4753,11.886
-22.0373,11.7292
-22.4829,11.7684
-22.289,11.9822
-22.1586,11.6856
-20.6068,11.7339
-15.7187,10.7139
-14.2518,10.3791
-11.8748,10.3326
-10.2184,8.87243
-10.0345,8.35898
-9.87125,8.29189
-9.73847,9.15561
-9.84012,8.25533
-9.85904,9.76471
-10.2888,8.54863
-9.87054,8.80788
-9.92932,8.43102
-9.90881,8.84171
-9.2036,9.00319
-9.69474,8.85229
-10.2157,9.33306
-9.97325,9.00004
-9.95835,8.68787
-10.0101,9.19481
-9.39671,9.08793
-9.79171,9.25786
-9.89782,9.43841
-9.81234,9.04565
-10.4269,9.55964
-10.5424,8.93885
-10.5778,8.33422
-10.4197,8.43515
-10.4766,9.25704
-10.7537,8.93249
-10.2105,9.28857
-10.089,8.93144
-10.2785,9.03779
-10.4457,8.94271
-10.2042,9.23295
-11.3786,9.10623
-10.9642,9.35184
-11.2923,9.3312
-11.5503,9.64411
-11.5097,8.99034
-11.8654,9.5945
-11.3159,9.5929
-11.5675,9.64811
-11.1246,10.0146
-11.4249,10.5322
-11.5253,9.94449
-12.0231,10.0402
-12.0341,9.7565
-11.434,9.949
-11.2982,9.53046
-11.7861,9.50737
-12.1226,9.10168
-11.2146,9.42938
-11.7456,9.56654
-11.8906,10.0701
-11.985,10.2368
-11.5142,9.64295
-11.6929,9.52882
-12.6551,9.83818
-12.0473,9.60233
-12.3469,9.8558
-12.535,9.77108
-11.9332,9.91169
-12.1019,9.92338
-12.8205,9.98363
-12.8574,9.94499
-12.2925,9.65169
-12.029,9.79038
-12.1021,10.1376
-12.2665,9.96545
-12.6261,9.90721
-13.0224,10.1446
-12.1715,9.92873
-12.5435,10.2688
-13.0853,10.213
-12.4659,10.2995
-13.2335,10.1392
-12.616,10.4247
-12.5409,9.66964
-13.2491,9.40691
-13.1295,9.80584
-13.4149,9.92799
-13.9894,9.6177
-13.7316,9.72094
-13.5199,9.68421
-13.3272,9.84348
-13.5689,9.48973
-13.516,9.47704
-13.6535,9.86635
-14.1833,9.50648
-14.0417,9.47182
-13.773,9.87211
-13.6761,10.1114
-13.8476,9.71621
-13.7306,10.0686
-14.1575,9.70826
-14.4437,9.6546
-14.3094,9.57659
-14.2876,9.66316
-13.9934,9.80189
-14.363,9.63827
-14.2218,9.82271
-13.9316,10.0056
-14.073,9.58925
-13.8524,9.67681
-14.1401,9.57513
-13.8106,9.82309
-13.7365,9.31999
-14.296,9.88271
-14.3491,9.99565
-14.1959,9.68732
-14.4506,9.52056
-14.5697,9.77717
-14.6705,9.57498
-14.4559,9.68372
-14.4744,9.58214
-15.1366,9.4993
-14.7346,9.37115
-15.3744,9.09071
-15.4769,9.26827
-15.3283,9.87935
-15.6012,9.55758
-15.6651,9.59316
-15.1556,9.52607
-15.3862,9.8296
-15.3435,9.84979
-15.6628,9.61874
-15.2358,9.48234
-15.5872,9.11608
-15.4831,9.31402
-15.6124,9.33467
-16.078,9.12199
-15.7151,9.60163
-15.4183,9.3189
-15.8675,9.32314
-15.7338,9.56281
-15.771,9.27626
-15.6443,9.29882
-15.9365,9.56205
-15.6199,9.6531
-15.6737,9.52369
-15.4221,9.72197
-15.2049,9.49155
-15.7033,9.61685
-15.5066,9.87385
-15.302,9.74693
-15.2349,9.8171
-15.1383,9.48093
-15.1058,9.79055
-15.0849,9.24256
-15.6436,9.57591
-15.3414,9.34285
-15.5228,9.33869
-15.2546,9.96838
-15.4119,9.78828
-15.5322,9.4306
-15.8314,10.1859
-15.757,9.83086
-15.5788,9.9138
-15.3898,9.70726
-15.6253,9.94958
-15.3838,10.0769
-15.6423,10.06
-15.6237,10.2811
-16.1381,9.50895
-15.3955,10.1699
-15.5201,10.1292
-15.3983,10.0942
-15.2429,10.0596
-15.9357,10.3162
-16.1263,9.72312
-15.7616,10.0945
